Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
44580,357189N1196621W001,801956.949,3957908.909,-119.662087,35.718895,1313.703,48.59729
44584,357181N1196166W001,806077.5938,3957961.294,-119.616587,35.718095,1437.794,37.33856
44612,356022N1196952W001,799397.5064,3944857.473,-119.695187,35.602195,743.2654,28.50512
44632,356593N1196167W001,806293.588,3951435.883,-119.616687,35.659295,1695.255,42.15864
44636,355656N1196335W001,805128.2717,3940985.732,-119.633488,35.565595,1535.513,151.3738
44640,355797N1196399W001,804494.5412,3942530.557,-119.639887,35.579695,1516.29,101.5209
44656,355756N1196335W002,805090.2994,3942095.422,-119.633487,35.575595,1567.606,119.9867
44660,356097N1196181W001,806356.3008,3945927.384,-119.618087,35.609695,1740.622,70.36102
44664,356231N1195896W001,808887.3992,3947503.641,-119.589587,35.623095,1799.226,68.81628
44668,355356N1196271W001,805822.6401,3937676.535,-119.627088,35.535595,1394.016,207.2534
44672,355756N1196225W001,806087.5497,3942129.607,-119.622488,35.575595,1659.276,126.6148
44676,355865N1195985W001,808221.5488,3943414.158,-119.598488,35.586495,1819.658,109.0551
44680,355865N1195985W002,808221.5488,3943414.158,-119.598488,35.586495,1819.658,109.0551
44684,355865N1195985W003,808221.5488,3943414.158,-119.598488,35.586495,1819.658,109.0551
44688,355865N1195865W001,809309.323,3943451.849,-119.586488,35.586495,1830.951,106.243
44692,355818N1195997W001,808130.8044,3942888.835,-119.599688,35.581795,1812.665,115.351
44696,355217N1196254W001,806029.692,3936139.352,-119.625388,35.521695,1373.998,166.8555
44700,355283N1196191W001,806576.0885,3936891.347,-119.619088,35.528295,1384.171,169.75
44704,355708N1195638W001,811427.9084,3941781.257,-119.563788,35.570795,1655.221,95.57436
44720,354853N1196185W001,806794.2704,3932121.557,-119.618488,35.485295,1662.084,100.8695
44724,355139N1195996W001,808400.1613,3935354.285,-119.599587,35.513895,1450.997,100.4117
44728,355285N1195830W001,809850.0739,3937026.565,-119.582988,35.528495,1325.929,102.1646
44732,355530N1195827W001,809782.9164,3939746.288,-119.582688,35.552995,1525.034,117.7693
